季节,AQI
秋季,69
秋季,50
秋季,68
秋季,90
秋季,93
秋季,96
秋季,85
秋季,70
秋季,72
秋季,55
秋季,45
秋季,50
秋季,73
秋季,59
秋季,78
秋季,57
秋季,75
秋季,85
秋季,81
秋季,80
秋季,118
秋季,99
秋季,87
秋季,92
秋季,101
秋季,103
秋季,95
秋季,107
秋季,110
秋季,121
秋季,110
秋季,80
秋季,76
秋季,84
秋季,80
秋季,33
秋季,47
秋季,64
秋季,66
秋季,73
秋季,87
秋季,63
秋季,91
秋季,66
秋季,69
冬季,79
冬季,52
冬季,56
冬季,74
冬季,87
冬季,80
冬季,76
冬季,77
冬季,51
冬季,73
冬季,70
冬季,64
冬季,56
冬季,77
冬季,82
冬季,67
冬季,45
冬季,59
冬季,62
冬季,90
冬季,108
冬季,113
冬季,88
冬季,83
冬季,95
冬季,108
冬季,121
冬季,82
冬季,44
冬季,53
冬季,74
冬季,89
冬季,85
冬季,65
冬季,64
冬季,51
冬季,49
冬季,60
冬季,82
冬季,75
冬季,58
冬季,80
冬季,104
冬季,94
冬季,115
冬季,81
冬季,52
冬季,78
冬季,100
冬季,81
冬季,90
冬季,91
冬季,85
冬季,87
冬季,97
冬季,109
冬季,104
冬季,93
冬季,119
冬季,82
冬季,64
冬季,65
冬季,65
冬季,74
冬季,65
冬季,64
冬季,69
冬季,63
冬季,62
冬季,68
冬季,74
冬季,81
冬季,90
冬季,91
冬季,52
冬季,59
冬季,49
冬季,44
冬季,48
冬季,50
冬季,53
冬季,55
冬季,63
冬季,67
冬季,81
冬季,77
冬季,68
冬季,56
冬季,86
冬季,66
春季,56
春季,74
春季,71
春季,69
春季,69
春季,67
春季,72
春季,57
春季,61
春季,52
春季,62
春季,69
春季,78
春季,141
春季,141
春季,141
春季,141
春季,141
春季,141
春季,141
春季,122
春季,122
春季,103
春季,141
春季,141
春季,140
春季,115
春季,141
春季,141
春季,141
春季,73
春季,32
春季,25
春季,31
春季,30
春季,56
春季,101
春季,55
春季,56
春季,45
春季,34
春季,45
春季,68
春季,71
春季,64
春季,88
春季,91
春季,80
春季,79
春季,42
春季,63
春季,64
春季,50
春季,47
春季,38
春季,78
春季,141
春季,141
春季,50
春季,68
春季,117
春季,80
春季,76
春季,106
春季,83
春季,64
春季,130
春季,141
春季,89
春季,78
春季,78
春季,52
春季,58
春季,52
春季,74
春季,28
春季,39
春季,47
春季,52
春季,44
春季,56
春季,64
春季,59
春季,41
春季,53
春季,62
春季,45
春季,67
春季,73
春季,56
春季,69
春季,141
夏季,58
夏季,61
夏季,53
夏季,57
夏季,63
夏季,101
夏季,54
夏季,45
夏季,40
夏季,55
夏季,38
夏季,52
夏季,58
夏季,38
夏季,61
夏季,34
夏季,34
夏季,45
夏季,51
夏季,49
夏季,85
夏季,81
夏季,47
夏季,56
夏季,40
夏季,47
夏季,51
夏季,42
夏季,44
夏季,46
夏季,45
夏季,38
夏季,56
夏季,58
夏季,61
夏季,40
夏季,61
夏季,59
夏季,56
夏季,47
夏季,53
夏季,43
夏季,70
夏季,46
夏季,33
夏季,43
夏季,53
夏季,56
夏季,55
夏季,42
夏季,39
夏季,44
夏季,40
夏季,42
夏季,37
夏季,36
夏季,56
夏季,54
夏季,55
夏季,69
夏季,77
夏季,71
夏季,70
夏季,45
夏季,44
夏季,62
夏季,56
夏季,57
夏季,72
夏季,50
夏季,46
夏季,46
夏季,51
夏季,75
夏季,57
夏季,41
夏季,35
夏季,34
夏季,63
夏季,33
夏季,57
夏季,39
夏季,44
夏季,54
夏季,49
夏季,53
夏季,52
夏季,52
夏季,47
夏季,48
夏季,31
夏季,44
秋季,49
秋季,41
秋季,32
秋季,57
秋季,47
秋季,39
秋季,55
秋季,57
秋季,53
秋季,58
秋季,50
秋季,40
秋季,39
秋季,25
秋季,22
秋季,30
秋季,43
秋季,30
秋季,34
秋季,52
秋季,62
秋季,46
秋季,50
秋季,42
秋季,42
秋季,54
秋季,62
秋季,66
秋季,65
秋季,65
秋季,64
秋季,58
秋季,59
秋季,44
秋季,46
秋季,48
秋季,60
秋季,44
秋季,72
秋季,45
秋季,36
秋季,36
秋季,82
秋季,65
秋季,52
秋季,54
秋季,56
秋季,59
秋季,60
秋季,52
秋季,56
秋季,58
秋季,55
秋季,55
秋季,47
秋季,57
秋季,60
秋季,62
秋季,62
秋季,59
秋季,54
秋季,48
秋季,51
秋季,58
秋季,66
秋季,124
秋季,90
秋季,64
秋季,63
秋季,58
秋季,58
秋季,51
秋季,68
秋季,73
秋季,71
秋季,81
秋季,99
秋季,106
秋季,87
秋季,86
秋季,96
秋季,72
秋季,77
秋季,102
秋季,101
秋季,93
秋季,92
秋季,100
秋季,75
秋季,84
秋季,85
冬季,86
冬季,85
冬季,100
冬季,92
冬季,98
冬季,87
冬季,81
冬季,100
冬季,86
冬季,64
冬季,48
冬季,55
冬季,85
冬季,80
冬季,67
冬季,69
冬季,62
冬季,77
冬季,90
冬季,103
冬季,104
冬季,81
冬季,74
冬季,70
冬季,61
冬季,58
冬季,80
冬季,91
冬季,95
冬季,110
冬季,75
冬季,107
冬季,102
冬季,87
冬季,97
冬季,107
冬季,110
冬季,100
冬季,103
冬季,124
冬季,75
冬季,86
冬季,61
冬季,68
冬季,73
冬季,69
冬季,81
冬季,81
冬季,89
冬季,87
冬季,81
冬季,87
冬季,83
冬季,78
冬季,83
冬季,89
冬季,86
冬季,62
冬季,52
冬季,61
冬季,58
冬季,73
冬季,106
冬季,66
冬季,63
冬季,56
冬季,53
冬季,55
冬季,64
冬季,80
冬季,78
冬季,85
冬季,60
冬季,58
冬季,64
冬季,56
冬季,99
冬季,79
冬季,57
冬季,41
冬季,42
冬季,52
冬季,44
冬季,54
冬季,57
冬季,61
冬季,58
冬季,91
冬季,68
冬季,91
春季,103
春季,76
春季,72
春季,69
春季,81
春季,75
春季,101
春季,84
春季,117
春季,101
春季,111
春季,141
春季,141
春季,141
春季,101
春季,82
春季,141
春季,111
春季,78
春季,58
春季,50
春季,51
春季,73
春季,141
春季,72
春季,50
春季,51
春季,79
春季,92
春季,68
春季,54
春季,54
春季,62
春季,63
春季,61
春季,90
春季,77
春季,73
春季,73
春季,82
春季,77
春季,141
春季,122
春季,104
春季,42
春季,31
春季,41
春季,118
春季,82
春季,61
春季,65
春季,121
春季,141
春季,98
春季,53
春季,64
春季,65
春季,141
春季,130
春季,60
春季,54
春季,52
春季,46
春季,53
春季,56
春季,61
春季,141
春季,76
春季,75
春季,53
春季,88
春季,51
春季,74
春季,47
春季,41
春季,50
春季,47
春季,56
春季,42
春季,56
春季,62
春季,50
春季,56
春季,52
春季,48
春季,33
春季,47
春季,58
春季,55
春季,86
春季,50
春季,56
夏季,59
夏季,50
夏季,45
夏季,41
夏季,57
夏季,44
夏季,56
夏季,64
夏季,46
夏季,44
夏季,56
夏季,54
夏季,52
夏季,63
夏季,62
夏季,56
夏季,54
夏季,44
夏季,40
夏季,39
夏季,64
夏季,39
夏季,48
夏季,46
夏季,38
夏季,37
夏季,36
夏季,45
夏季,54
夏季,57
夏季,48
夏季,45
夏季,61
夏季,45
夏季,50
夏季,72
夏季,83
夏季,88
夏季,50
夏季,48
夏季,38
夏季,46
夏季,52
夏季,41
夏季,29
夏季,29
夏季,35
夏季,38
夏季,35
夏季,54
夏季,48
夏季,35
夏季,46
夏季,48
夏季,40
夏季,70
夏季,39
夏季,59
夏季,52
夏季,39
夏季,40
夏季,32
夏季,35
夏季,35
夏季,31
夏季,43
夏季,44
夏季,44
夏季,45
夏季,47
夏季,39
夏季,38
夏季,41
夏季,46
夏季,35
夏季,43
夏季,54
夏季,48
夏季,47
夏季,60
夏季,49
夏季,41
夏季,40
夏季,43
夏季,32
夏季,31
夏季,32
夏季,22
夏季,45
夏季,48
夏季,45
夏季,53
秋季,48
秋季,42
秋季,35
秋季,45
秋季,50
秋季,55
秋季,55
秋季,43
秋季,54
秋季,63
秋季,66
秋季,51
秋季,45
秋季,35
秋季,41
秋季,42
秋季,44
秋季,49
秋季,41
秋季,41
秋季,55
秋季,68
秋季,60
秋季,52
秋季,59
秋季,51
秋季,60
秋季,57
秋季,65
秋季,66
秋季,55
秋季,60
秋季,55
秋季,66
秋季,43
秋季,53
秋季,53
秋季,63
秋季,62
秋季,64
秋季,57
秋季,45
秋季,48
秋季,92
秋季,70
秋季,65
秋季,67
秋季,72
秋季,65
秋季,62
秋季,67
秋季,63
秋季,67
秋季,65
秋季,52
秋季,44
秋季,42
秋季,30
秋季,60
秋季,59
秋季,57
秋季,58
秋季,58
秋季,57
秋季,49
秋季,55
秋季,61
秋季,57
秋季,63
秋季,76
秋季,82
秋季,55
秋季,51
秋季,61
秋季,66
秋季,69
秋季,78
秋季,66
秋季,92
秋季,90
秋季,89
秋季,78
秋季,79
秋季,81
秋季,74
秋季,73
秋季,78
秋季,141
秋季,105
秋季,90
秋季,79
冬季,87
冬季,95
冬季,129
冬季,131
冬季,116
冬季,111
冬季,102
冬季,90
冬季,96
冬季,80
冬季,133
冬季,141
冬季,134
冬季,94
冬季,109
冬季,58
冬季,128
冬季,101
冬季,98
冬季,119
冬季,107
冬季,88
冬季,99
冬季,141
冬季,61
冬季,71
冬季,59
冬季,79
冬季,77
冬季,99
冬季,122
冬季,106
冬季,80
冬季,98
冬季,104
冬季,141
冬季,141
冬季,109
冬季,94
冬季,102
冬季,118
冬季,115
冬季,141
冬季,141
冬季,78
冬季,78
冬季,96
冬季,99
冬季,102
冬季,100
冬季,87
冬季,115
冬季,141
冬季,85
冬季,80
冬季,80
冬季,79
冬季,98
冬季,93
冬季,95
冬季,110
冬季,97
冬季,61
冬季,78
冬季,79
冬季,77
冬季,88
冬季,71
冬季,80
冬季,68
冬季,85
冬季,100
冬季,101
冬季,71
冬季,55
冬季,78
冬季,123
冬季,123
冬季,123
冬季,58
冬季,74
冬季,89
冬季,88
冬季,64
冬季,66
冬季,107
冬季,86
冬季,67
冬季,65
冬季,77
春季,63
春季,63
春季,66
春季,61
春季,72
春季,70
春季,69
春季,80
春季,80
春季,78
春季,141
春季,81
春季,93
春季,76
春季,105
春季,109
春季,118
春季,110
春季,105
春季,67
春季,91
春季,141
春季,141
春季,111
春季,76
春季,90
春季,75
春季,68
春季,67
春季,63
春季,53
春季,58
春季,70
春季,125
春季,56
春季,60
春季,105
春季,125
春季,100
春季,93
春季,98
春季,141
春季,141
春季,136
春季,111
春季,39
春季,63
春季,78
春季,96
春季,93
春季,141
春季,141
春季,132
春季,73
春季,41
春季,51
春季,52
春季,75
春季,75
春季,64
春季,63
春季,68
春季,61
春季,69
春季,62
春季,98
春季,59
春季,56
春季,39
春季,33
春季,35
春季,58
春季,60
春季,61
春季,58
春季,67
春季,71
春季,72
春季,50
春季,62
春季,77
春季,141
春季,97
春季,48
春季,52
春季,102
春季,61
春季,49
春季,51
春季,58
春季,77
春季,114
春季,63
夏季,77
夏季,42
夏季,32
夏季,32
夏季,45
夏季,49
夏季,46
夏季,55
夏季,50
夏季,54
夏季,56
夏季,38
夏季,55
夏季,57
夏季,45
夏季,38
夏季,42
夏季,70
夏季,66
夏季,55
夏季,53
夏季,48
夏季,50
夏季,52
夏季,47
夏季,120
夏季,55
夏季,59
夏季,61
夏季,55
夏季,60
夏季,77
夏季,39
夏季,48
夏季,50
夏季,56
夏季,59
夏季,58
夏季,58
夏季,50
夏季,54
夏季,42
夏季,27
夏季,39
夏季,53
夏季,61
夏季,56
夏季,49
夏季,46
夏季,46
夏季,50
夏季,57
夏季,58
夏季,50
夏季,64
夏季,60
夏季,41
夏季,47
夏季,51
夏季,35
夏季,36
夏季,33
夏季,47
夏季,43
夏季,50
夏季,57
夏季,38
夏季,42
夏季,30
夏季,29
夏季,48
夏季,37
夏季,52
夏季,63
夏季,42
夏季,37
夏季,141
夏季,77
夏季,54
夏季,52
夏季,57
夏季,58
夏季,51
夏季,41
夏季,55
夏季,37
夏季,36
夏季,39
夏季,46
夏季,39
夏季,48
夏季,54
秋季,54
秋季,73
秋季,65
秋季,56
秋季,41
秋季,45
秋季,69
秋季,43
秋季,62
秋季,55
秋季,35
秋季,47
秋季,49
秋季,48
秋季,56
秋季,49
秋季,61
秋季,47
秋季,42
秋季,42
秋季,36
秋季,33
秋季,70
秋季,40
秋季,35
秋季,33
秋季,35
秋季,45
秋季,41
秋季,39
秋季,32
秋季,42
秋季,47
秋季,40
秋季,27
秋季,39
秋季,47
秋季,49
秋季,47
秋季,41
秋季,34
秋季,33
秋季,36
秋季,48
秋季,56
秋季,54
秋季,43
秋季,50
秋季,39
秋季,55
秋季,71
秋季,82
秋季,63
秋季,60
秋季,55
秋季,71
秋季,68
秋季,68
秋季,79
秋季,78
秋季,63
秋季,64
秋季,95
秋季,106
秋季,76
秋季,65
秋季,88
秋季,97
秋季,99
秋季,79
秋季,80
秋季,132
秋季,91
秋季,105
秋季,91
秋季,92
秋季,81
秋季,71
秋季,46
秋季,65
冬季,76
冬季,95
冬季,94
冬季,98
冬季,141
冬季,141
冬季,84
冬季,74
冬季,80
冬季,74
冬季,69
冬季,77
冬季,85
冬季,84
冬季,63
冬季,70
冬季,80
冬季,63
冬季,99
冬季,92
冬季,73
冬季,85
冬季,72
冬季,89
冬季,106
冬季,113
冬季,124
冬季,116
冬季,111
冬季,96
冬季,80
冬季,81
冬季,79
冬季,88
冬季,91
冬季,80
冬季,90
冬季,106
冬季,106
冬季,86
冬季,91
冬季,107
冬季,100
冬季,91
冬季,79
冬季,89
冬季,102
冬季,107
冬季,100
冬季,100
冬季,109
冬季,49
冬季,51
冬季,53
冬季,63
冬季,69
冬季,71
冬季,74
冬季,90
冬季,100
冬季,95
冬季,85
冬季,84
冬季,93
冬季,83
冬季,97
冬季,93
冬季,58
冬季,65
冬季,91
冬季,79
冬季,130
冬季,77
冬季,72
冬季,70
冬季,54
冬季,53
冬季,58
冬季,98
冬季,141
冬季,114
冬季,141
冬季,141
冬季,110
冬季,104
冬季,141
冬季,141
冬季,93
冬季,98
冬季,89
冬季,61
春季,78
春季,76
春季,72
春季,64
春季,72
春季,68
春季,141
春季,105
春季,88
春季,74
春季,71
春季,75
春季,65
春季,74
春季,141
春季,141
春季,89
春季,91
春季,87
春季,72
春季,77
春季,75
春季,88
春季,37
春季,53
春季,46
春季,42
春季,55
春季,100
春季,141
春季,94
春季,76
春季,89
春季,69
春季,59
春季,58
春季,58
春季,56
春季,58
春季,48
春季,49
春季,57
春季,58
春季,60
春季,141
春季,141
春季,95
春季,62
春季,43
春季,51
春季,43
春季,43
春季,59
春季,141
春季,61
春季,52
春季,74
春季,64
春季,141
春季,45
春季,46
春季,47
春季,31
春季,32
春季,51
春季,61
春季,68
春季,61
春季,51
春季,45
春季,67
春季,50
春季,55
春季,53
春季,54
春季,111
春季,75
春季,75
春季,60
春季,78
春季,78
春季,55
春季,55
春季,60
春季,141
春季,67
春季,56
春季,52
春季,36
春季,33
春季,38
春季,58
夏季,49
夏季,41
夏季,43
夏季,48
夏季,49
夏季,31
夏季,37
夏季,36
夏季,46
夏季,46
夏季,49
夏季,55
夏季,44
夏季,51
夏季,51
夏季,40
夏季,46
夏季,50
夏季,62
夏季,37
夏季,37
夏季,54
夏季,44
夏季,57
夏季,56
夏季,47
夏季,40
夏季,38
夏季,41
夏季,39
夏季,36
夏季,47
夏季,45
夏季,53
夏季,53
夏季,55
夏季,49
夏季,35
夏季,60
夏季,67
夏季,66
夏季,67
夏季,46
夏季,34
夏季,29
夏季,34
夏季,39
夏季,51
夏季,40
夏季,112
夏季,141
夏季,84
夏季,56
夏季,108
夏季,72
夏季,56
夏季,49
夏季,46
夏季,36
夏季,43
夏季,49
夏季,55
夏季,32
夏季,41
夏季,49
夏季,49
夏季,36
夏季,43
夏季,36
夏季,73
夏季,45
夏季,49
夏季,57
夏季,44
夏季,34
夏季,45
夏季,39
夏季,37
夏季,46
夏季,50
夏季,45
夏季,55
夏季,50
夏季,45
夏季,42
夏季,32
夏季,55
夏季,39
夏季,38
夏季,38
夏季,35
夏季,57
秋季,44
秋季,49
秋季,39
秋季,36
秋季,25
秋季,24
秋季,40
秋季,45
秋季,32
秋季,32
秋季,36
秋季,40
秋季,28
秋季,43
秋季,46
秋季,37
秋季,49
秋季,52
秋季,47
秋季,39
秋季,38
秋季,45
秋季,44
秋季,58
秋季,47
秋季,41
秋季,55
秋季,54
秋季,34
秋季,30
秋季,39
秋季,49
秋季,39
秋季,43
秋季,46
秋季,53
秋季,58
秋季,56
秋季,55
秋季,57
秋季,53
秋季,48
秋季,55
秋季,56
秋季,50
秋季,39
秋季,49
秋季,50
秋季,53
秋季,49
秋季,48
秋季,50
秋季,65
秋季,55
秋季,51
秋季,51
秋季,64
秋季,70
秋季,62
秋季,44
秋季,49
秋季,61
秋季,59
秋季,66
秋季,69
秋季,67
秋季,71
秋季,70
秋季,68
秋季,66
秋季,72
秋季,61
秋季,62
秋季,65
秋季,81
秋季,81
秋季,55
秋季,55
秋季,43
秋季,56
秋季,74
秋季,80
秋季,97
秋季,78
秋季,45
秋季,50
秋季,67
秋季,77
秋季,74
秋季,82
秋季,80
冬季,80
冬季,64
冬季,68
冬季,58
冬季,64
冬季,63
冬季,48
冬季,55
冬季,64
冬季,66
冬季,73
冬季,57
冬季,62
冬季,85
冬季,121
冬季,132
冬季,103
冬季,74
冬季,76
冬季,81
冬季,77
冬季,115
冬季,108
冬季,90
冬季,116
冬季,80
冬季,56
冬季,83
冬季,87
冬季,82
冬季,112
冬季,82
冬季,86
冬季,92
冬季,81
冬季,119
冬季,122
冬季,66
冬季,75
冬季,68
冬季,68
冬季,63
冬季,80
冬季,85
冬季,67
冬季,66
冬季,90
冬季,85
冬季,74
冬季,92
冬季,98
冬季,90
冬季,85
冬季,115
冬季,90
冬季,75
冬季,89
冬季,82
冬季,121
冬季,141
冬季,128
冬季,82
冬季,61
冬季,63
冬季,50
冬季,52
冬季,43
冬季,50
冬季,60
冬季,62
冬季,66
冬季,63
冬季,91
冬季,90
冬季,92
冬季,65
冬季,58
冬季,82
冬季,80
冬季,70
冬季,73
冬季,66
冬季,65
冬季,70
冬季,54
冬季,62
冬季,66
冬季,76
冬季,78
冬季,88
春季,82
春季,54
春季,59
春季,76
春季,55
春季,56
春季,69
春季,75
春季,82
春季,74
春季,141
春季,104
春季,108
春季,60
春季,52
春季,60
春季,53
春季,48
春季,54
春季,64
春季,65
春季,66
春季,68
春季,79
春季,120
春季,141
春季,80
春季,92
春季,68
春季,94
春季,80
春季,123
春季,118
春季,98
春季,136
春季,81
春季,70
春季,72
春季,91
春季,141
春季,78
春季,141
春季,141
春季,110
春季,72
春季,75
春季,141
春季,92
春季,141
春季,141
春季,141
春季,94
春季,82
春季,62
春季,59
春季,62
春季,53
春季,68
春季,52
春季,58
春季,101
春季,60
春季,128
春季,118
春季,126
春季,106
春季,141
春季,114
春季,55
春季,57
春季,52
春季,72
春季,60
春季,83
春季,70
春季,65
春季,60
春季,141
春季,68
春季,64
春季,68
春季,64
春季,59
春季,59
春季,68
春季,64
春季,58
春季,51
春季,64
春季,61
春季,116
春季,76
夏季,66
夏季,58
夏季,67
夏季,59
夏季,68
夏季,67
夏季,78
夏季,64
夏季,60
夏季,52
夏季,73
夏季,80
夏季,82
夏季,67
夏季,95
夏季,77
夏季,74
夏季,68
夏季,72
夏季,59
夏季,68
夏季,72
夏季,68
夏季,57
夏季,62
夏季,64
夏季,68
夏季,79
夏季,55
夏季,71
夏季,54
夏季,59
夏季,72
夏季,63
夏季,62
夏季,65
夏季,71
夏季,48
夏季,62
夏季,63
夏季,48
夏季,46
夏季,53
夏季,61
夏季,61
夏季,68
夏季,68
夏季,66
夏季,78
夏季,51
夏季,65
夏季,69
夏季,51
夏季,56
夏季,58
夏季,73
夏季,83
夏季,82
夏季,64
夏季,82
夏季,65
夏季,69
夏季,73
夏季,53
夏季,48
夏季,36
夏季,46
夏季,47
夏季,46
夏季,48
夏季,49
夏季,76
夏季,79
夏季,74
夏季,72
夏季,73
夏季,72
夏季,55
夏季,51
夏季,68
夏季,114
夏季,46
夏季,35
夏季,65
夏季,62
夏季,48
夏季,36
夏季,52
夏季,40
夏季,50
夏季,59
夏季,69
秋季,48
秋季,63
秋季,60
秋季,66
秋季,62
秋季,92
秋季,78
秋季,67
秋季,57
秋季,56
秋季,57
秋季,59
秋季,65
秋季,74
秋季,128
秋季,82
秋季,40
秋季,26
秋季,38
秋季,38
秋季,46
秋季,56
秋季,56
秋季,54
秋季,46
秋季,44
秋季,45
秋季,46
秋季,50
秋季,52
秋季,48
秋季,39
秋季,54
秋季,64
秋季,62
秋季,47
秋季,37
秋季,33
秋季,40
秋季,33
秋季,36
秋季,34
秋季,52
秋季,52
秋季,54
秋季,60
秋季,36
秋季,52
秋季,56
秋季,54
秋季,42
秋季,42
秋季,32
秋季,41
秋季,49
秋季,44
秋季,57
秋季,64
秋季,66
秋季,67
秋季,66
秋季,68
秋季,71
秋季,58
秋季,64
秋季,31
秋季,26
秋季,84
秋季,84
秋季,88
秋季,62
秋季,62
秋季,66
秋季,68
秋季,69
秋季,71
秋季,64
秋季,46
秋季,54
秋季,68
秋季,79
秋季,82
秋季,82
秋季,140
秋季,66
秋季,75
秋季,110
秋季,134
秋季,82
秋季,84
秋季,82
冬季,88
冬季,66
冬季,68
冬季,85
冬季,94
冬季,100
冬季,75
冬季,81
冬季,94
冬季,84
冬季,104
冬季,86
冬季,73
冬季,81
冬季,100
冬季,90
冬季,96
冬季,120
冬季,64
冬季,48
冬季,88
冬季,82
冬季,54
冬季,56
冬季,60
冬季,68
冬季,89
冬季,108
冬季,95
冬季,108
冬季,70
冬季,92
冬季,80
冬季,81
冬季,72
冬季,50
冬季,72
冬季,85
冬季,78
冬季,64
冬季,68
冬季,76
冬季,95
冬季,85
冬季,104
冬季,84
冬季,100
冬季,98
冬季,80
冬季,58
冬季,59
冬季,64
冬季,71
冬季,95
冬季,112
冬季,141
冬季,141
冬季,141
冬季,141
冬季,121
冬季,106
冬季,104
冬季,92
冬季,84
冬季,86
冬季,81
冬季,69
冬季,75
冬季,68
冬季,71
冬季,91
冬季,108
冬季,81
冬季,79
冬季,84
冬季,77
冬季,96
冬季,64
冬季,71
冬季,55
冬季,51
冬季,58
冬季,141
冬季,141
冬季,118
冬季,76
冬季,108
冬季,90
冬季,89
冬季,91
春季,92
春季,92
春季,133
春季,124
春季,76
春季,68
春季,62
春季,51
春季,59
春季,57
春季,56
春季,141
春季,141
春季,82
春季,97
春季,89
春季,72
春季,86
春季,92
春季,80
春季,105
春季,115
春季,94
春季,74
春季,68
春季,51
春季,48
春季,50
春季,51
春季,42
春季,52
春季,57
春季,66
春季,110
春季,92
春季,92
春季,67
春季,58
春季,53
春季,69
春季,60
春季,70
春季,64
春季,59
春季,66
春季,57
春季,61
春季,70
春季,85
春季,141
春季,74
春季,88
春季,74
春季,84
春季,82
春季,85
春季,87
春季,61
春季,52
春季,91
春季,58
春季,48
春季,68
春季,74
春季,65
春季,78
春季,83
春季,58
春季,61
春季,57
春季,66
春季,68
春季,64
春季,62
春季,140
春季,63
春季,53
春季,72
春季,62
春季,61
春季,61
春季,141
春季,112
春季,74
春季,48
春季,56
春季,88
春季,92
春季,49
春季,61
春季,82
春季,89
夏季,76
夏季,89
夏季,76
夏季,76
夏季,78
夏季,141
夏季,72
